Code,No,SubNo,Result,Reason
U-01,1,1,2,(login 파일에 auth required pam_securetty.so가 설정되어 있지 않 음)
U-02,1,2,2,(패스워드 복잡성이 부적절하게 설정되어 있음 (기준 : minlen=8 다른 > 속성은 -1))
U-03,1,3,2,(system-auth파일에 tally를 통한 deny설정이 부적절하게 설정되었거나 없음)
U-04,1,4,1,-
U-05,2,1,1,-
U-06,2,2,1,(소유자 또는 그룹이 없는 파일 및 디렉터리 없음)
U-07,2,3,1,-
U-08,2,4,1,-
U-09,2,5,2,(hosts파일의 권한 또는 소유자가 부적절함)
U-10,2,6,3,점검에 필요한 파일이 서버 내 존재하지 않음
U-11,2,7,1,-
U-12,2,8,1,-
U-13,2,9,4,수동진단 필요(OS 기본파일을 확인해서 제외해야함)
U-14,2,10,4,(passwd파일 내 홈 디렉터리 확인 후 소유자가 본인 또는 root이며 쓰기는 소유자만인지 확인)
U-15,2,11,2,(World writable 파일이 존재함)
U-16,2,12,1,(major minor 번호가 없는 device 없음)
U-17,2,13,1,(major minor 번호가 없는 device 없음)
U-18,2,14,4,(인터뷰 필요)
U-19,3,1,1,(서비스 설치되어 있지 않음)
U-20,3,2,4,(정확히ftp로 된 계정과 Anonymous로 된 계정 없는지 확인)
U-21,3,3,1,(검사할 파일이 존재하지 않음)
U-22,3,4,1,-
U-23,3,5,1,(서비스 설치되어 있지 않음)
U-24,3,6,1,-
U-25,3,7,1,(NFS 서비스 없음)
U-26,3,8,1,-
U-27,3,9,1,(서비스 설치되어 있지 않음)
U-28,3,10,1,-
U-29,3,11,1,(서비스 설치되어 있지 않음)
U-30,3,12,1,(서비스 설치되어 있지 않음)
U-31,3,13,1,(서비스 설치되어 있지 않음)
U-32,3,14,1,(서비스 설치되어 있지 않음)
U-33,3,15,1,(서비스가 비활성화 됨)
U-34,3,16,1,(서비스가 비활성화 됨)
U-42,4,1,4,(인터뷰 필요)
U-43,5,1,4,(인터뷰 필요)
U-44,1,5,1,-
U-45,1,6,2,(pam 설정이 되어있지 않음)
U-46,1,7,2,(패스워드 최소길이가 설정되지 않음)
U-47,1,8,2,(패스워드 최대 사용기간이 설정되지 않음)
U-48,1,9,2,(패스워드 최소 사용기간이 설정되지 않음)
U-49,1,10,4,(계정 리스팅해서 엑셀로 계정별 사용목적 회신받기)
U-50,1,11,4,(root 그룹 내 계정 리스팅 해서 루트권한 사용목적 회신받기)
U-51,1,12,2,(계정이 존재하지 않는 그룹 존재함)
U-52,1,13,1,-
U-53,1,14,4,(로그인이 필요한 사유 회신받기)
U-54,1,15,2,(설정이 되어 있지 않음)
U-55,2,15,3,(파일이 존재하지 않음)
U-56,2,16,1,-
U-57,2,17,2,(UMASK가 잘못 설정됨)
U-58,2,18,2,(소유자 또는 권한이 부적절하게 설정됨)
U-59,2,19,1,-
U-60,2,20,2,(불필요한 숨김파일이 존재함 -> 담당자 확인 필요)
U-61,3,24,1,(telnet은 설치되어 있지 않으며 ftp 서비스를 비활성화 시켜둠)
U-62,3,25,1,(ftp 서비스를 비활성화 시켜둠)
U-63,3,26,1,(쉘을 사용할 수 없게 설정되어 있음)
U-64,3,27,1,(해당 설정 파일이 존재하지 않음)
U-65,3,28,1,(해당 설정 파일이 존재하지 않음)
U-66,3,29,1,(해당 설정 파일이 존재하지 않음)
U-67,3,30,1,(snmp서비스 미작동 중)
U-68,3,31,1,(snmp서비스 미작동 중)
U-69,3,32,2,-(서버 로그온 메시지 미설정됨)
U-70,3,33,1,
U-71,3,34,1,(sendmail 설치되어 있지 않음)
U-73,5,2,2,-(\*.alert 미설정 되어있음)
